NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
3,SUV,18,9,13.5,11,9.437,13.5,51.3,40.5,18.696825,2,18,23,16.36,2.41,4.77,0.37259999999999993,0.975,21,28
3,Small,18,10,4.0,3,6.435,4.0,15.2,12.0,3.42945,3,18,23,14.75,0.8,4.68,0.40905,0.919,19,31
2,Small,16,8,4.0,7,7.921,4.0,15.2,12.0,5.4774,1,1,6,19.6,0.71,4.67,0.4697999999999992,0.931,23,30
2,Sedan,19,10,6.0,3,7.238,6.0,22.8,18.0,19.434825,3,1,8,41.73,1.62,4.8,0.44145,0.985,20,27
4,Small,18,8,4.0,11,9.051,4.0,15.2,12.0,19.434825,1,4,6,46.19,1.07,4.78,0.38475,0.98,22,31
1,SUV,21,7,13.5,3,8.413,13.5,51.3,40.5,5.4774,1,2,5,19.98,1.57,4.65,0.4536000000000001,0.969,21,29
5,Sedan,20,10,6.0,11,13.122,6.0,22.8,18.0,18.696825,3,8,19,30.15,2.46,4.64,0.40095000000000003,0.987,22,29
2,Small,20,8,4.0,3,6.775,4.0,15.2,12.0,13.009950000000002,3,6,19,28.98,3.31,4.72,0.40905,0.99,19,30
4,Small,17,8,4.0,11,6.763,4.0,15.2,12.0,3.42945,2,17,23,31.94,1.55,4.74,0.4536000000000001,0.98,22,31
1,Small,18,8,4.0,7,11.095,4.0,15.2,12.0,2.426175,1,6,17,19.57,2.53,4.67,0.48195,0.98,20,30
5,Sedan,18,10,6.0,3,9.288,6.0,22.8,18.0,19.434825,1,18,23,22.17,1.83,4.8,0.40905,0.976,22,30
3,Sedan,17,9,6.0,3,6.611,6.0,22.8,18.0,5.4774,1,2,7,28.55,2.57,4.63,0.37259999999999993,0.986,23,27
3,SUV,17,7,13.5,7,7.114,13.5,51.3,40.5,3.42945,2,5,7,9.05,0.54,4.72,0.4131,0.815,22,30
2,Small,20,12,4.0,3,11.508,4.0,15.2,12.0,2.426175,1,20,23,13.17,1.03,4.69,0.47384999999999916,0.929,21,27
3,Small,18,10,5.0,11,13.251,4.0,15.2,11.0,5.4774,2,18,23,43.38,2.67,4.8,0.4536000000000001,0.991,22,29
3,Small,18,7,4.0,7,10.95,4.0,15.2,12.0,19.434825,3,18,23,32.05,3.42,4.63,0.3807,0.991,21,31
4,Truck,18,9,17.5,11,4.215,17.5,66.5,52.5,0.685125,2,7,17,31.54,0.89,4.79,0.4374,0.965,20,29
2,Small,21,9,4.0,7,10.345,4.0,15.2,12.0,0.685125,2,7,9,13.09,3.46,4.67,0.45764999999999917,0.978,20,31
5,SUV,17,8,13.5,7,6.779,13.5,51.3,40.5,19.434825,3,6,16,34.53,2.53,4.79,0.43335,0.989,20,28
4,Sedan,18,8,6.0,11,12.309,6.0,22.8,18.0,19.434825,2,6,17,18.97,3.37,4.63,0.48195,0.984,21,27
4,Sedan,20,11,6.0,3,12.471,6.0,22.8,18.0,13.009950000000002,3,3,9,16.01,3.16,4.6,0.46574999999999916,0.98,20,28
4,Sedan,17,9,6.0,11,9.169,6.0,22.8,18.0,1.33605,2,17,23,48.08,0.56,4.68,0.3888,0.964,22,30
3,Small,18,9,5.0,3,11.966,4.0,15.2,11.0,0.685125,3,7,17,32.15,1.97,4.61,0.46574999999999916,0.984,23,28
3,Small,21,8,5.0,7,11.902,4.0,15.2,11.0,0.685125,2,6,20,49.44,1.79,4.75,0.405,0.989,21,28
2,Sedan,17,9,6.0,11,8.047,6.0,22.8,18.0,18.696825,2,6,8,28.24,3.48,4.7,0.4616999999999992,0.99,23,28
1,SUV,19,9,13.5,7,12.536,13.5,51.3,40.5,19.434825,1,19,23,38.83,1.29,4.79,0.49410000000000004,0.98,20,31
1,Sedan,21,8,6.0,11,4.544,6.0,22.8,18.0,2.426175,1,6,20,43.82,2.47,4.73,0.48195,0.991,22,27
1,SUV,22,8,13.5,7,10.767,13.5,51.3,40.5,13.009950000000002,1,6,21,9.7,1.48,4.61,0.405,0.933,21,29
3,Small,17,9,6.0,3,15.33,4.0,15.2,10.0,13.009950000000002,2,17,23,36.57,0.9,4.79,0.43335,0.97,19,30
3,Small,18,11,4.0,11,8.961,4.0,15.2,12.0,3.42945,3,9,17,46.45,1.26,4.69,0.42524999999999996,0.983,20,27
3,Small,19,8,4.0,11,8.724,4.0,15.2,12.0,0.685125,2,3,6,49.56,0.55,4.72,0.41715,0.964,23,31
4,Small,21,9,4.0,3,7.496,4.0,15.2,12.0,19.434825,3,4,7,15.1,2.16,4.6,0.47790000000000005,0.97,21,28
1,Small,20,8,4.0,3,11.32,4.0,15.2,12.0,2.426175,2,3,6,18.1,2.65,4.74,0.49005,0.979,21,28
5,Small,19,10,4.0,11,5.579,4.0,15.2,12.0,3.42945,3,4,8,35.2,2.72,4.79,0.40095000000000003,0.99,22,27
5,Sedan,18,11,6.0,11,10.696,6.0,22.8,18.0,18.696825,3,18,23,42.19,2.14,4.73,0.4536000000000001,0.989,21,30
1,Small,19,11,4.0,7,10.673,4.0,15.2,12.0,0.685125,3,19,23,27.56,0.99,4.67,0.44955,0.964,19,27
4,Small,17,9,4.0,3,6.859,4.0,15.2,12.0,1.33605,3,7,16,31.9,2.16,4.71,0.49410000000000004,0.986,19,29
5,Sedan,17,9,6.0,3,11.505,6.0,22.8,18.0,2.426175,1,17,23,47.77,0.84,4.71,0.39285000000000003,0.975,19,28
1,Sedan,18,11,6.0,3,10.0,6.0,22.8,18.0,1.33605,3,5,9,48.83,1.64,4.71,0.4616999999999992,0.988,20,27
3,Sedan,17,10,6.0,3,6.917,6.0,22.8,18.0,3.42945,1,8,16,15.75,3.45,4.74,0.44955,0.982,22,30
2,SUV,17,11,13.5,3,3.664,13.5,51.3,40.5,1.33605,3,17,23,26.1,2.85,4.79,0.3888,0.987,21,29
2,Small,19,11,4.0,7,8.895,4.0,15.2,12.0,1.33605,1,9,18,40.59,1.18,4.73,0.3807,0.979,23,30
