NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
5,Truck,17,8,17.5,3,7.658,17.5,66.5,52.5,0.685125,1,17,23,13.9,3.38,4.64,0.37259999999999993,0.979,21,28
5,Small,20,10,6.0,7,15.611,4.0,15.2,10.0,2.426175,3,7,10,26.89,2.29,4.76,0.4697999999999992,0.984,21,30
3,Truck,20,8,17.5,11,13.41,17.5,66.5,52.5,18.696825,1,20,23,47.82,2.49,4.6,0.38475,0.992,22,27
5,Small,19,8,5.0,3,12.912,4.0,15.2,11.0,1.33605,1,5,6,46.85,2.78,4.78,0.50625,0.992,23,27
3,Sedan,21,8,6.0,11,9.974,6.0,22.8,18.0,19.434825,2,21,23,30.48,2.55,4.61,0.4697999999999992,0.987,19,30
2,Small,18,11,6.0,3,15.907,4.0,15.2,10.0,3.42945,1,18,23,17.42,3.38,4.75,0.48195,0.983,23,27
3,SUV,20,7,13.5,11,11.379,13.5,51.3,40.5,19.434825,3,20,23,35.04,0.79,4.76,0.49815,0.965,23,27
5,Sedan,22,10,6.0,3,10.95,6.0,22.8,18.0,2.426175,2,8,21,17.41,0.64,4.78,0.4536000000000001,0.914,22,28
5,Small,18,10,5.0,3,11.91,4.0,15.2,11.0,2.426175,1,18,23,26.19,1.72,4.64,0.36449999999999994,0.978,22,27
1,Small,17,8,4.0,3,10.062,4.0,15.2,12.0,19.434825,2,6,16,47.94,1.86,4.77,0.38475,0.989,23,31
4,Small,19,8,4.0,11,4.474,4.0,15.2,12.0,5.4774,2,19,23,41.77,1.91,4.66,0.4697999999999992,0.988,19,29
4,Sedan,18,9,6.0,7,9.954,6.0,22.8,18.0,1.33605,3,7,10,17.91,0.8,4.78,0.3888,0.933,21,31
4,Sedan,18,7,6.0,7,8.193,6.0,22.8,18.0,2.426175,3,3,6,11.76,1.35,4.69,0.48600000000000004,0.939,20,28
2,SUV,17,10,13.5,3,14.416,13.5,51.3,40.5,1.33605,2,5,8,29.09,2.35,4.65,0.4616999999999992,0.985,20,30
4,Sedan,16,10,6.0,7,10.175,6.0,22.8,18.0,13.009950000000002,1,1,8,37.11,2.23,4.74,0.4131,0.988,20,28
5,Sedan,20,8,7.0,11,15.688,6.0,22.8,17.0,0.685125,1,20,23,17.09,1.29,4.65,0.48195,0.956,19,31
5,Small,20,10,4.0,7,8.313,4.0,15.2,12.0,0.685125,3,20,23,31.31,1.29,4.72,0.4212,0.976,22,29
1,SUV,19,9,13.5,7,10.05,13.5,51.3,40.5,18.696825,2,1,7,47.69,0.58,4.67,0.47384999999999916,0.964,23,27
2,Truck,20,9,17.5,3,10.028,17.5,66.5,52.5,18.696825,3,7,19,16.63,3.54,4.64,0.42524999999999996,0.983,23,28
5,Small,17,12,4.0,7,10.863,4.0,15.2,12.0,0.685125,2,10,16,28.54,2.67,4.74,0.49410000000000004,0.987,20,29
4,Small,20,8,6.0,7,14.593,4.0,15.2,10.0,1.33605,2,20,23,15.73,3.26,4.69,0.4212,0.981,19,30
1,Small,22,7,4.0,7,7.334,4.0,15.2,12.0,3.42945,3,4,7,30.25,0.74,4.62,0.49815,0.956,20,31
1,Small,21,8,5.0,7,12.769,4.0,15.2,11.0,13.009950000000002,2,6,20,8.14,1.35,4.63,0.41715,0.913,22,28
3,Sedan,18,11,6.0,3,6.123,6.0,22.8,18.0,0.685125,1,18,23,45.86,2.08,4.66,0.41715,0.99,22,31
2,Small,19,11,4.0,11,7.228,4.0,15.2,12.0,3.42945,3,1,9,22.32,0.59,4.6,0.42524999999999996,0.927,19,30
5,Small,21,11,4.0,7,11.14,4.0,15.2,12.0,18.696825,2,9,20,11.91,2.02,4.79,0.4536000000000001,0.959,19,27
5,Sedan,19,9,6.0,7,6.433,6.0,22.8,18.0,13.009950000000002,2,6,8,25.31,1.38,4.68,0.48600000000000004,0.972,21,29
2,Small,19,9,5.0,7,13.574,4.0,15.2,11.0,0.685125,3,7,18,25.53,0.82,4.69,0.44145,0.953,19,31
4,Truck,18,10,17.5,3,10.572,17.5,66.5,52.5,18.696825,3,8,17,17.9,2.66,4.69,0.44955,0.979,23,28
4,Sedan,19,10,6.0,3,9.07,6.0,22.8,18.0,2.426175,3,8,18,28.21,0.74,4.62,0.37259999999999993,0.953,22,31
5,Truck,19,11,17.5,7,9.151,17.5,66.5,52.5,1.33605,1,8,9,41.02,1.46,4.79,0.4455,0.983,20,30
5,Small,19,8,4.0,3,9.805,4.0,15.2,12.0,5.4774,1,19,23,17.46,2.34,4.72,0.4212,0.976,22,28
4,Sedan,18,10,6.0,3,12.859,6.0,22.8,18.0,1.33605,2,18,23,46.71,1.58,4.63,0.39285000000000003,0.987,19,30
2,Sedan,17,9,6.0,3,7.974,6.0,22.8,18.0,19.434825,1,7,16,21.11,2.39,4.6,0.36854999999999993,0.98,20,31
3,SUV,19,7,13.5,3,10.372,13.5,51.3,40.5,0.685125,1,19,23,49.73,3.2,4.79,0.41715,0.994,21,31
5,SUV,17,8,13.5,7,12.482,13.5,51.3,40.5,3.42945,2,2,6,27.65,2.18,4.75,0.46574999999999916,0.984,20,28
1,Small,19,10,4.0,11,10.974,4.0,15.2,12.0,3.42945,2,4,8,15.76,3.41,4.74,0.48195,0.982,19,27
5,Sedan,18,7,7.0,3,16.352,6.0,22.8,17.0,19.434825,2,18,23,39.24,2.13,4.66,0.39690000000000003,0.988,21,28
3,Sedan,18,8,6.0,11,11.56,6.0,22.8,18.0,18.696825,2,6,17,16.2,1.78,4.77,0.49005,0.966,21,29
2,Small,18,10,4.0,3,4.18,4.0,15.2,12.0,18.696825,1,18,23,14.27,1.25,4.73,0.4293,0.945,23,30
4,Sedan,17,9,6.0,3,11.62,6.0,22.8,18.0,2.426175,2,17,23,28.89,2.78,4.73,0.37259999999999993,0.988,21,29
4,SUV,18,8,13.5,3,3.831,13.5,51.3,40.5,18.696825,2,6,17,43.88,2.6,4.74,0.39285000000000003,0.991,21,30
2,Truck,18,8,17.5,7,8.048,17.5,66.5,52.5,18.696825,3,18,23,17.5,2.58,4.74,0.49410000000000004,0.978,23,29
3,Truck,16,12,17.5,3,7.229,17.5,66.5,52.5,5.4774,1,7,10,38.68,3.44,4.74,0.39285000000000003,0.993,23,30
4,SUV,19,9,13.5,7,5.315,13.5,51.3,40.5,19.434825,3,7,18,19.38,3.23,4.78,0.4536000000000001,0.984,23,31
3,SUV,19,7,13.5,3,13.006,13.5,51.3,40.5,18.696825,3,19,23,49.41,0.68,4.64,0.4697999999999992,0.971,19,28
5,SUV,19,9,13.5,3,13.162,13.5,51.3,40.5,5.4774,2,7,18,18.52,3.42,4.76,0.38475,0.984,22,31
3,Small,19,10,6.0,3,16.104,4.0,15.2,10.0,13.009950000000002,1,19,23,18.34,1.56,4.72,0.4293,0.966,19,28
1,Small,18,9,7.0,11,17.292,4.0,15.2,9.0,13.009950000000002,2,18,23,35.73,3.26,4.64,0.38475,0.991,19,28
1,Sedan,21,9,6.0,11,8.938,6.0,22.8,18.0,5.4774,1,7,20,20.94,2.21,4.77,0.38475,0.979,23,31
5,Small,18,11,4.0,3,7.09,4.0,15.2,12.0,1.33605,3,9,17,41.93,0.74,4.73,0.37664999999999993,0.968,22,30
1,Small,18,9,4.0,11,11.124,4.0,15.2,12.0,3.42945,2,18,23,11.07,1.14,4.76,0.48195,0.924,23,28
3,Small,16,12,5.0,7,14.511,4.0,15.2,11.0,18.696825,2,5,10,32.71,1.64,4.61,0.3807,0.982,22,30
4,Sedan,18,10,6.0,3,4.009,6.0,22.8,18.0,0.685125,2,8,17,14.38,1.25,4.69,0.37259999999999993,0.946,22,31
4,Small,19,10,4.0,3,10.645,4.0,15.2,12.0,19.434825,2,3,8,11.84,0.51,4.67,0.46574999999999916,0.847,21,31
4,Sedan,18,9,6.0,11,13.579,6.0,22.8,18.0,0.685125,3,7,10,36.49,1.16,4.63,0.48195,0.977,23,30
5,Sedan,21,11,6.0,11,8.018,6.0,22.8,18.0,18.696825,2,9,20,30.15,2.01,4.67,0.43335,0.984,20,27
