NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Small,16,8,4.0,11,3.819,4.0,15.2,12.0,3.42945,2,6,8,23.72,2.11,4.62,0.4536000000000001,0.98,19,30
3,Small,18,11,5.0,11,14.314,4.0,15.2,11.0,3.42945,2,10,17,26.35,0.54,4.7,0.40905,0.932,19,31
3,Small,17,8,4.0,7,7.011,4.0,15.2,12.0,13.009950000000002,3,17,23,8.04,0.54,4.65,0.45764999999999917,0.794,23,29
2,Small,16,9,4.0,11,10.186,4.0,15.2,12.0,1.33605,2,16,23,7.32,0.8,4.65,0.44955,0.843,19,30
1,Small,17,6,6.0,7,15.043,4.0,15.2,10.0,5.4774,3,5,16,10.05,1.92,4.7,0.4536000000000001,0.949,21,28
1,Small,19,9,5.0,3,12.926,4.0,15.2,11.0,5.4774,2,8,18,46.43,1.61,4.65,0.4697999999999992,0.987,19,29
5,Sedan,20,10,6.0,7,7.759,6.0,22.8,18.0,13.009950000000002,1,9,19,17.84,0.51,4.66,0.48600000000000004,0.896,21,27
2,SUV,19,7,13.5,3,4.6,13.5,51.3,40.5,3.42945,1,6,18,15.66,0.93,4.61,0.42524999999999996,0.934,22,30
4,Sedan,20,10,6.0,11,5.217,6.0,22.8,18.0,19.434825,2,8,10,16.32,3.42,4.61,0.49005,0.982,22,28
3,Small,21,9,4.0,11,7.734,4.0,15.2,12.0,13.009950000000002,2,3,8,8.35,1.02,4.65,0.36854999999999993,0.889,19,31
3,Sedan,18,8,6.0,11,10.065,6.0,22.8,18.0,18.696825,3,2,7,9.77,3.46,4.7,0.48600000000000004,0.971,20,29
2,Small,19,10,4.0,11,8.216,4.0,15.2,12.0,0.685125,1,9,18,22.93,2.17,4.63,0.48195,0.98,20,28
1,Sedan,19,11,6.0,3,9.905,6.0,22.8,18.0,5.4774,1,10,18,26.1,2.68,4.78,0.42524999999999996,0.986,22,31
3,Sedan,18,9,6.0,7,8.805,6.0,22.8,18.0,5.4774,1,8,9,45.24,3.3,4.67,0.40905,0.993,21,28
3,Sedan,21,8,6.0,11,5.832,6.0,22.8,18.0,18.696825,2,4,7,46.64,2.33,4.79,0.36449999999999994,0.991,20,28
1,Small,22,7,4.0,11,8.667,4.0,15.2,12.0,19.434825,2,6,21,22.0,1.97,4.69,0.4374,0.977,22,29
3,Truck,17,8,17.5,7,11.054,17.5,66.5,52.5,2.426175,3,7,16,22.62,2.67,4.8,0.44145,0.984,19,27
3,Sedan,21,8,6.0,7,5.568,6.0,22.8,18.0,19.434825,3,7,20,10.25,2.19,4.66,0.38475,0.956,21,28
4,Sedan,19,10,6.0,7,12.85,6.0,22.8,18.0,18.696825,1,6,9,38.31,3.39,4.78,0.39690000000000003,0.992,22,27
5,SUV,19,7,13.5,7,6.903,13.5,51.3,40.5,1.33605,3,6,18,14.45,3.13,4.7,0.46574999999999916,0.978,20,31
5,Truck,18,7,17.5,11,10.457,17.5,66.5,52.5,18.696825,2,6,8,23.11,2.58,4.78,0.4616999999999992,0.983,20,27
3,Small,19,10,4.0,7,10.913,4.0,15.2,12.0,13.009950000000002,1,19,23,32.31,2.26,4.79,0.4536000000000001,0.986,20,28
2,SUV,18,7,13.5,11,9.084,13.5,51.3,40.5,1.33605,1,18,23,40.72,2.49,4.72,0.5022000000000001,0.99,23,30
