NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Small,16,9,4.0,11,8.57,4.0,15.2,12.0,3.42945,3,6,9,8.07,1.92,4.63,0.37259999999999993,0.937,23,29
4,SUV,20,8,13.5,11,5.691,13.5,51.3,40.5,18.696825,1,4,7,26.57,3.03,4.69,0.49410000000000004,0.988,23,28
1,Sedan,20,11,6.0,3,13.059,6.0,22.8,18.0,1.33605,1,10,19,33.37,2.18,4.79,0.48195,0.986,23,28
3,Truck,20,10,17.5,7,9.809,17.5,66.5,52.5,2.426175,1,9,19,21.62,0.51,4.68,0.49410000000000004,0.913,20,29
3,Small,19,10,6.0,7,15.518,4.0,15.2,10.0,18.696825,1,3,9,22.04,2.55,4.74,0.4212,0.982,22,29
4,Sedan,18,7,6.0,11,14.605,6.0,22.8,18.0,3.42945,1,6,17,20.4,2.01,4.71,0.4616999999999992,0.976,21,27
5,Small,19,8,4.0,7,8.671,4.0,15.2,12.0,3.42945,1,2,7,48.61,0.6,4.79,0.41715,0.966,19,31
5,Small,21,7,5.0,11,13.519,4.0,15.2,11.0,18.696825,2,6,20,14.98,1.0,4.62,0.40095000000000003,0.935,20,28
4,Sedan,19,7,6.0,3,9.022,6.0,22.8,18.0,5.4774,2,6,8,46.5,3.05,4.73,0.49815,0.993,22,28
5,SUV,17,8,13.5,11,7.652,13.5,51.3,40.5,19.434825,3,4,7,8.47,1.81,4.67,0.4374,0.937,23,28
4,Sedan,20,9,6.0,3,10.184,6.0,22.8,18.0,3.42945,1,8,19,30.2,2.93,4.67,0.3807,0.989,20,29
3,Truck,19,6,17.5,11,6.577,17.5,66.5,52.5,5.4774,3,3,6,36.47,3.03,4.75,0.49005,0.991,22,27
3,SUV,17,11,13.5,3,6.619,13.5,51.3,40.5,13.009950000000002,1,10,11,35.26,3.01,4.63,0.44955,0.991,20,29
2,Small,18,6,4.0,3,10.211,4.0,15.2,12.0,13.009950000000002,2,3,5,19.2,2.99,4.64,0.41715,0.983,20,29
5,Sedan,20,9,6.0,3,10.492,6.0,22.8,18.0,2.426175,1,8,19,49.26,3.56,4.6,0.47790000000000005,0.994,23,30
5,Truck,22,6,17.5,11,8.968,17.5,66.5,52.5,19.434825,3,5,21,30.6,2.84,4.78,0.41715,0.989,20,27
5,SUV,20,10,13.5,11,12.055,13.5,51.3,40.5,13.009950000000002,1,9,19,25.43,2.88,4.78,0.4455,0.986,20,30
2,SUV,19,10,13.5,7,9.078,13.5,51.3,40.5,19.434825,2,9,18,38.9,1.8,4.73,0.50625,0.986,23,29
1,SUV,18,7,13.5,7,4.971,13.5,51.3,40.5,1.33605,1,3,6,25.68,1.36,4.63,0.4212,0.972,22,31
4,Sedan,20,9,6.0,3,5.422,6.0,22.8,18.0,3.42945,3,7,10,16.93,1.24,4.62,0.39690000000000003,0.953,23,31
1,Small,19,8,4.0,7,11.655,4.0,15.2,12.0,1.33605,3,7,18,31.94,1.14,4.69,0.39690000000000003,0.973,22,30
1,Sedan,18,7,6.0,11,9.64,6.0,22.8,18.0,13.009950000000002,1,4,6,31.88,0.64,4.7,0.48195,0.952,21,31
2,Truck,20,9,17.5,7,11.325,17.5,66.5,52.5,0.685125,3,8,19,30.75,2.05,4.69,0.49005,0.984,20,27
4,Sedan,20,9,6.0,7,12.19,6.0,22.8,18.0,19.434825,1,20,23,24.54,3.47,4.61,0.39285000000000003,0.988,22,29
2,SUV,17,9,13.5,3,10.63,13.5,51.3,40.5,1.33605,2,6,8,23.56,2.99,4.69,0.4455,0.986,21,30
1,SUV,17,9,13.5,11,6.396,13.5,51.3,40.5,13.009950000000002,1,17,23,31.09,1.44,4.69,0.4374,0.978,21,31
4,Sedan,19,8,6.0,11,5.559,6.0,22.8,18.0,19.434825,2,19,23,7.31,2.66,4.79,0.49005,0.95,22,30
1,Small,17,8,4.0,11,10.722,4.0,15.2,12.0,0.685125,3,17,23,7.9,2.51,4.74,0.39690000000000003,0.951,19,28
1,Truck,19,6,17.5,7,7.752,17.5,66.5,52.5,2.426175,1,5,18,24.76,1.44,4.79,0.5022000000000001,0.972,20,31
2,Sedan,17,11,7.0,11,15.539,6.0,22.8,17.0,2.426175,2,17,23,13.66,2.43,4.79,0.4455,0.97,23,30
4,Small,18,7,4.0,3,8.725,4.0,15.2,12.0,3.42945,2,2,6,25.7,2.5,4.8,0.4293,0.985,22,29
5,Small,19,10,6.0,3,14.519,4.0,15.2,10.0,1.33605,2,9,18,7.56,2.63,4.62,0.43335,0.951,19,28
3,Small,18,7,5.0,3,12.781,4.0,15.2,11.0,13.009950000000002,3,2,6,44.78,1.48,4.61,0.37664999999999993,0.985,22,31
4,Sedan,21,7,6.0,3,6.399,6.0,22.8,18.0,18.696825,2,21,23,43.77,0.65,4.72,0.48195,0.965,21,27
1,SUV,18,9,13.5,7,10.923,13.5,51.3,40.5,13.009950000000002,1,18,23,16.75,2.86,4.76,0.4374,0.979,22,28
4,Sedan,19,6,6.0,3,3.978,6.0,22.8,18.0,3.42945,1,19,23,42.87,1.15,4.8,0.42524999999999996,0.98,21,27
2,Small,17,7,4.0,7,9.213,4.0,15.2,12.0,1.33605,2,6,16,8.14,2.02,4.68,0.43335,0.941,19,29
2,Truck,18,11,17.5,11,11.927,17.5,66.5,52.5,3.42945,2,8,10,28.43,1.68,4.76,0.41715,0.979,23,30
4,Sedan,18,8,6.0,3,13.249,6.0,22.8,18.0,18.696825,1,18,23,44.8,3.49,4.64,0.49410000000000004,0.994,20,27
2,Small,18,8,4.0,3,7.156,4.0,15.2,12.0,3.42945,3,1,7,49.44,1.43,4.76,0.41715,0.986,22,27
4,Truck,20,8,17.5,3,5.902,17.5,66.5,52.5,13.009950000000002,2,20,23,29.7,2.35,4.68,0.40905,0.986,21,28
5,Small,18,9,4.0,7,8.615,4.0,15.2,12.0,19.434825,1,18,23,22.01,1.61,4.64,0.42524999999999996,0.972,23,31
2,Small,19,9,4.0,11,9.513,4.0,15.2,12.0,13.009950000000002,3,8,18,37.39,2.1,4.71,0.42524999999999996,0.987,22,27
2,SUV,18,7,13.5,7,8.543,13.5,51.3,40.5,5.4774,2,6,17,31.62,1.1,4.65,0.4455,0.972,22,29
3,Sedan,17,9,6.0,3,8.226,6.0,22.8,18.0,13.009950000000002,3,8,16,15.64,1.18,4.75,0.47790000000000005,0.947,19,30
1,Sedan,19,6,6.0,7,3.152,6.0,22.8,18.0,1.33605,1,19,23,35.53,1.29,4.66,0.39285000000000003,0.978,22,31
3,Sedan,17,8,6.0,7,6.421,6.0,22.8,18.0,2.426175,1,1,7,33.09,0.96,4.69,0.49005,0.969,23,28
1,Sedan,19,10,6.0,7,8.891,6.0,22.8,18.0,18.696825,3,7,10,7.51,1.53,4.6,0.49815,0.917,20,28
5,Small,19,8,4.0,7,9.8,4.0,15.2,12.0,5.4774,2,1,7,31.34,1.58,4.66,0.43335,0.98,20,27
2,Sedan,19,10,6.0,3,11.958,6.0,22.8,18.0,3.42945,2,9,18,47.13,1.14,4.66,0.48600000000000004,0.982,21,29
3,Small,17,10,4.0,7,8.387,4.0,15.2,12.0,18.696825,1,17,23,40.26,2.88,4.65,0.44955,0.991,23,29
