NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
4,Small,18,9,4.0,11,8.854,4.0,15.2,12.0,18.696825,2,6,17,8.89,1.16,4.64,0.44999999999999996,0.908,21,30
1,Truck,21,13,17.5,3,8.22,17.5,66.5,52.5,0.685125,1,10,20,19.96,0.78,4.68,0.53,0.938,19,29
1,SUV,16,10,13.5,11,9.004,13.5,51.3,40.5,1.33605,2,7,9,49.34,2.01,4.66,0.47,0.99,21,27
5,Truck,20,8,17.5,7,6.661,17.5,66.5,52.5,19.434825,2,4,6,32.02,1.46,4.78,0.564999999999999,0.979,19,27
2,Small,19,10,4.0,11,7.26,4.0,15.2,12.0,0.685125,2,7,18,24.57,1.42,4.75,0.49,0.972,21,27
3,Small,18,11,5.0,11,13.323,4.0,15.2,11.0,13.009950000000002,1,18,23,27.96,2.59,4.74,0.615,0.986,20,28
3,Sedan,18,10,6.0,7,8.154,6.0,22.8,18.0,1.33605,3,1,7,10.43,1.57,4.74,0.48,0.941,21,28
3,Sedan,18,11,6.0,7,2.835,6.0,22.8,18.0,0.685125,1,8,17,48.09,1.79,4.61,0.52,0.988,22,27
1,Sedan,20,11,6.0,3,13.718,6.0,22.8,18.0,2.426175,3,20,23,24.61,0.99,4.71,0.485,0.96,23,31
2,Small,20,9,4.0,3,5.582,4.0,15.2,12.0,1.33605,1,1,6,46.65,1.42,4.65,0.45999999999999996,0.985,21,31
5,SUV,18,11,13.5,3,12.219,13.5,51.3,40.5,19.434825,1,18,23,48.36,2.28,4.74,0.564999999999999,0.991,21,31
3,Small,16,12,5.0,3,13.045,4.0,15.2,11.0,18.696825,2,16,23,45.73,1.58,4.77,0.53,0.986,23,28
2,SUV,21,12,13.5,7,11.991,13.5,51.3,40.5,2.426175,2,4,9,43.19,3.47,4.78,0.555,0.993,22,30
1,Sedan,20,9,6.0,11,4.946,6.0,22.8,18.0,3.42945,1,2,6,45.66,1.85,4.72,0.45999999999999996,0.988,22,27
5,Small,20,8,4.0,11,10.145,4.0,15.2,12.0,3.42945,2,20,23,6.89,2.52,4.6,0.525,0.944,20,29
1,Truck,20,11,17.5,7,11.537,17.5,66.5,52.5,5.4774,3,8,19,35.61,2.92,4.65,0.605,0.99,22,29
5,Small,19,12,4.0,7,2.066,4.0,15.2,12.0,13.009950000000002,2,9,18,7.62,3.08,4.62,0.579999999999999,0.958,23,31
2,Truck,19,9,17.5,11,9.323,17.5,66.5,52.5,19.434825,1,4,6,37.97,2.09,4.67,0.51,0.987,20,31
5,Sedan,17,12,6.0,11,11.324,6.0,22.8,18.0,2.426175,2,9,16,48.81,1.63,4.66,0.495,0.988,19,29
3,SUV,18,11,13.5,7,7.153,13.5,51.3,40.5,0.685125,1,18,23,10.0,1.43,4.77,0.579999999999999,0.932,21,30
3,Small,19,9,6.0,11,15.753,4.0,15.2,10.0,5.4774,1,19,23,39.18,1.72,4.62,0.44999999999999996,0.985,22,28
5,SUV,17,9,13.5,11,9.646,13.5,51.3,40.5,19.434825,1,6,7,18.99,1.02,4.61,0.48,0.95,21,27
3,Small,20,10,5.0,11,13.753,4.0,15.2,11.0,5.4774,1,3,7,14.89,1.91,4.62,0.45499999999999996,0.965,22,28
1,Small,17,11,7.0,11,17.791,4.0,15.2,9.0,19.434825,1,8,16,41.56,1.09,4.62,0.49,0.978,23,30
1,Sedan,19,9,6.0,7,1.708,6.0,22.8,18.0,19.434825,1,6,18,22.61,1.13,4.62,0.51,0.962,20,31
4,Small,17,11,4.0,3,9.184,4.0,15.2,12.0,0.685125,2,8,16,28.31,2.75,4.71,0.44999999999999996,0.987,22,29
2,SUV,21,11,13.5,11,9.674,13.5,51.3,40.5,18.696825,3,6,9,38.2,0.75,4.68,0.62,0.966,20,31
4,SUV,18,8,13.5,7,7.469,13.5,51.3,40.5,2.426175,1,18,23,17.21,1.6,4.66,0.574999999999999,0.964,19,28
2,SUV,19,12,13.5,3,12.456,13.5,51.3,40.5,0.685125,3,19,23,14.58,3.51,4.69,0.495,0.981,22,28
5,Sedan,21,10,6.0,11,6.458,6.0,22.8,18.0,19.434825,1,21,23,9.79,1.21,4.63,0.495,0.919,20,28
2,Small,19,12,4.0,7,10.674,4.0,15.2,12.0,2.426175,2,6,9,26.55,1.01,4.7,0.62,0.963,22,27
1,Small,18,9,4.0,11,6.766,4.0,15.2,12.0,1.33605,2,18,23,19.53,1.63,4.77,0.505,0.969,21,30
2,SUV,19,11,13.5,7,10.51,13.5,51.3,40.5,2.426175,2,19,23,36.39,2.3,4.75,0.62,0.988,19,29
2,Sedan,17,11,7.0,7,15.644,6.0,22.8,17.0,5.4774,1,8,16,27.82,3.16,4.8,0.595,0.989,22,29
1,SUV,20,10,13.5,7,11.956,13.5,51.3,40.5,13.009950000000002,3,1,7,33.2,2.33,4.73,0.515,0.987,19,29
1,SUV,19,10,13.5,7,11.238,13.5,51.3,40.5,19.434825,3,19,23,38.6,1.6,4.74,0.49,0.984,23,28
3,SUV,18,9,13.5,3,4.411,13.5,51.3,40.5,5.4774,3,3,6,24.2,1.64,4.62,0.505,0.975,23,30
5,Truck,20,11,17.5,7,6.711,17.5,66.5,52.5,5.4774,2,3,8,15.0,3.59,4.63,0.485,0.982,21,28
3,Small,17,10,6.0,11,16.489,4.0,15.2,10.0,3.42945,2,17,23,22.7,1.97,4.64,0.525,0.978,21,29
2,SUV,19,11,13.5,7,8.432,13.5,51.3,40.5,19.434825,2,19,23,18.29,3.56,4.61,0.605,0.985,21,31
2,Small,20,10,4.0,7,6.979,4.0,15.2,12.0,5.4774,3,7,19,49.18,1.68,4.77,0.49,0.988,22,29
5,Small,22,11,4.0,7,8.318,4.0,15.2,12.0,5.4774,2,7,9,39.03,0.52,4.7,0.625,0.952,20,27
3,Small,19,12,5.0,3,12.243,4.0,15.2,11.0,2.426175,2,9,18,29.87,3.39,4.76,0.44999999999999996,0.99,22,30
1,SUV,17,10,13.5,7,9.668,13.5,51.3,40.5,2.426175,2,7,16,43.49,1.93,4.74,0.44999999999999996,0.988,20,30
4,Sedan,18,12,6.0,3,12.126,6.0,22.8,18.0,3.42945,3,5,9,37.73,2.7,4.76,0.569999999999999,0.99,22,28
2,Sedan,18,11,6.0,3,9.522,6.0,22.8,18.0,18.696825,1,6,8,7.64,1.55,4.78,0.525,0.919,21,27
4,Sedan,20,9,6.0,7,14.139,6.0,22.8,18.0,13.009950000000002,2,6,19,19.01,2.78,4.76,0.45999999999999996,0.981,21,28
1,Sedan,19,10,6.0,11,10.838,6.0,22.8,18.0,5.4774,2,7,18,24.32,0.91,4.63,0.52,0.956,23,29
5,Sedan,20,9,6.0,3,2.428,6.0,22.8,18.0,1.33605,3,3,6,47.53,0.6,4.64,0.595,0.966,21,29
2,Small,19,11,4.0,11,11.256,4.0,15.2,12.0,5.4774,1,1,8,12.12,1.37,4.77,0.45499999999999996,0.942,19,31
1,Small,21,12,4.0,11,10.79,4.0,15.2,12.0,18.696825,2,9,20,8.55,0.93,4.75,0.535,0.882,19,29
4,Truck,18,10,17.5,7,12.895,17.5,66.5,52.5,13.009950000000002,1,6,7,24.42,0.57,4.73,0.54,0.931,21,28
3,SUV,20,12,13.5,11,8.681,13.5,51.3,40.5,3.42945,3,20,23,38.65,1.17,4.72,0.555,0.978,22,29
4,Sedan,17,10,6.0,11,10.869,6.0,22.8,18.0,1.33605,3,7,16,35.74,3.39,4.8,0.595,0.992,21,29
3,Sedan,16,11,6.0,7,10.502,6.0,22.8,18.0,19.434825,3,2,8,13.97,2.94,4.63,0.574999999999999,0.976,21,27
5,SUV,17,10,13.5,7,9.425,13.5,51.3,40.5,13.009950000000002,3,2,7,18.63,0.62,4.62,0.564999999999999,0.917,23,30
3,Small,18,11,4.0,3,8.152,4.0,15.2,12.0,1.33605,2,8,17,30.02,2.29,4.71,0.62,0.986,19,30
1,Small,17,12,6.0,7,16.1,4.0,15.2,10.0,0.685125,1,9,16,25.07,3.41,4.63,0.595,0.988,21,28
1,Sedan,18,10,6.0,11,6.184,6.0,22.8,18.0,19.434825,1,18,23,9.67,1.49,4.75,0.45499999999999996,0.933,22,31
2,Small,17,11,4.0,7,9.614,4.0,15.2,12.0,1.33605,3,8,16,6.83,1.84,4.75,0.615,0.924,22,28
4,SUV,19,9,13.5,7,13.854,13.5,51.3,40.5,2.426175,3,6,18,9.79,1.4,4.64,0.51,0.93,22,29
3,Small,17,8,4.0,11,8.621,4.0,15.2,12.0,13.009950000000002,1,17,23,23.19,3.18,4.77,0.6,0.987,20,27
5,SUV,18,10,13.5,3,10.428,13.5,51.3,40.5,5.4774,2,18,23,41.46,1.19,4.76,0.475,0.98,21,28
5,Sedan,19,12,6.0,3,8.914,6.0,22.8,18.0,18.696825,2,9,18,46.8,2.38,4.71,0.595,0.991,23,29
4,Small,17,10,4.0,11,11.448,4.0,15.2,12.0,3.42945,1,7,8,49.13,3.39,4.6,0.584999999999999,0.994,22,30
3,Truck,17,9,17.5,7,15.538,17.5,66.5,52.5,5.4774,3,1,6,23.89,2.5,4.69,0.6,0.983,22,30
5,Small,19,11,4.0,11,11.396,4.0,15.2,12.0,1.33605,3,7,10,43.0,3.1,4.7,0.584999999999999,0.993,22,29
4,Small,20,9,4.0,7,7.898,4.0,15.2,12.0,19.434825,2,6,19,42.35,2.0,4.61,0.53,0.988,20,31
1,Small,19,10,4.0,7,4.758,4.0,15.2,12.0,1.33605,3,7,18,35.16,2.67,4.62,0.62,0.989,22,31
4,Sedan,20,10,6.0,7,10.978,6.0,22.8,18.0,18.696825,1,7,19,27.92,0.51,4.69,0.45499999999999996,0.932,20,29
4,Small,17,9,4.0,3,6.637,4.0,15.2,12.0,1.33605,3,6,16,9.92,3.07,4.62,0.584999999999999,0.968,23,27
1,Small,16,12,4.0,3,8.713,4.0,15.2,12.0,3.42945,1,9,15,30.47,3.43,4.74,0.564999999999999,0.99,22,31
1,Small,18,10,4.0,11,4.255,4.0,15.2,12.0,13.009950000000002,3,18,23,34.58,1.76,4.74,0.545,0.984,20,28
4,SUV,17,12,13.5,11,8.382,13.5,51.3,40.5,19.434825,1,6,9,49.74,2.46,4.67,0.535,0.992,23,28
5,Sedan,18,9,6.0,3,8.3,6.0,22.8,18.0,0.685125,1,6,17,47.66,3.54,4.77,0.62,0.994,22,28
2,SUV,17,11,13.5,11,4.275,13.5,51.3,40.5,5.4774,1,5,8,11.04,3.43,4.64,0.475,0.974,19,27
5,SUV,21,10,13.5,7,16.247,13.5,51.3,40.5,1.33605,3,6,9,44.38,3.26,4.76,0.5,0.993,22,27
5,Sedan,17,11,7.0,11,15.449,6.0,22.8,17.0,2.426175,2,8,16,19.71,1.74,4.74,0.47,0.971,21,27
2,Sedan,19,9,6.0,3,10.859,6.0,22.8,18.0,1.33605,1,6,18,34.45,1.56,4.78,0.605,0.982,22,31
5,Small,16,9,4.0,7,10.107,4.0,15.2,12.0,5.4774,3,16,23,21.57,2.85,4.79,0.45999999999999996,0.984,21,29
5,Small,20,12,4.0,11,8.368,4.0,15.2,12.0,3.42945,2,8,10,29.97,2.42,4.66,0.569999999999999,0.986,20,29
