NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,SUV,20,8,13.5,3,13.04,13.5,51.3,40.5,0.685125,2,6,19,43.94,2.29,4.62,0.4131,0.99,21,29
1,Small,20,10,4.0,7,9.488,4.0,15.2,12.0,1.33605,1,20,23,14.99,1.66,4.73,0.3807,0.961,21,28
2,Small,21,9,4.0,11,8.184,4.0,15.2,12.0,18.696825,2,7,20,47.24,1.0,4.69,0.39285000000000003,0.979,21,30
4,Sedan,18,8,6.0,7,13.215,6.0,22.8,18.0,18.696825,1,5,6,13.79,3.13,4.64,0.4616999999999992,0.977,23,30
4,Small,20,7,4.0,11,2.395,4.0,15.2,12.0,5.4774,1,5,19,23.66,2.43,4.73,0.4697999999999992,0.983,20,28
4,Sedan,20,11,6.0,11,11.542,6.0,22.8,18.0,2.426175,3,20,23,49.57,3.42,4.75,0.43335,0.994,22,27
1,Sedan,18,8,6.0,11,9.489,6.0,22.8,18.0,2.426175,1,3,6,16.65,2.34,4.71,0.4212,0.975,21,27
1,Small,18,9,4.0,3,11.284,4.0,15.2,12.0,0.685125,1,3,7,24.72,2.43,4.69,0.47384999999999916,0.983,22,31
1,Truck,18,8,17.5,11,12.406,17.5,66.5,52.5,5.4774,3,6,17,34.31,1.27,4.67,0.48600000000000004,0.977,20,31
1,Small,17,9,4.0,7,9.37,4.0,15.2,12.0,0.685125,1,17,23,42.4,3.56,4.8,0.48195,0.993,21,30
3,Sedan,20,9,6.0,3,14.162,6.0,22.8,18.0,5.4774,3,7,19,8.47,0.66,4.6,0.43335,0.836,21,30
3,Small,19,11,4.0,7,9.884,4.0,15.2,12.0,0.685125,1,1,9,33.1,1.55,4.64,0.39285000000000003,0.981,19,30
3,Sedan,21,9,6.0,3,14.976,6.0,22.8,18.0,18.696825,2,7,20,34.97,3.42,4.61,0.47790000000000005,0.992,23,29
3,Small,17,11,4.0,3,9.134,4.0,15.2,12.0,2.426175,1,9,16,19.42,3.5,4.74,0.45764999999999917,0.985,20,29
5,Sedan,19,8,6.0,3,12.354,6.0,22.8,18.0,5.4774,2,19,23,16.15,1.19,4.72,0.45764999999999917,0.949,23,29
2,Sedan,19,10,6.0,3,14.115,6.0,22.8,18.0,18.696825,1,19,23,22.4,1.36,4.61,0.4374,0.968,20,31
3,SUV,19,10,13.5,3,7.222,13.5,51.3,40.5,2.426175,1,19,23,33.86,1.51,4.7,0.39285000000000003,0.981,23,28
4,Sedan,19,12,6.0,7,14.339,6.0,22.8,18.0,0.685125,2,19,23,11.94,2.71,4.61,0.37664999999999993,0.97,19,29
5,Sedan,20,10,6.0,3,14.796,6.0,22.8,18.0,1.33605,2,20,23,18.35,2.68,4.61,0.4697999999999992,0.98,22,30
1,SUV,18,8,13.5,7,5.485,13.5,51.3,40.5,19.434825,3,18,23,9.17,0.73,4.67,0.49815,0.861,19,29
5,Sedan,17,12,6.0,3,11.617,6.0,22.8,18.0,0.685125,3,10,16,13.33,1.91,4.74,0.39690000000000003,0.961,22,30
4,SUV,21,7,13.5,11,11.754,13.5,51.3,40.5,3.42945,3,3,6,11.15,3.1,4.7,0.5022000000000001,0.971,20,31
1,Small,19,8,4.0,3,8.543,4.0,15.2,12.0,1.33605,1,19,23,34.95,2.47,4.77,0.5022000000000001,0.988,23,27
1,SUV,18,7,13.5,7,7.375,13.5,51.3,40.5,3.42945,2,5,17,37.91,2.66,4.73,0.49410000000000004,0.99,22,31
2,SUV,19,8,13.5,11,10.203,13.5,51.3,40.5,3.42945,1,19,23,35.37,0.6,4.69,0.44145,0.954,22,30
2,Small,17,10,4.0,3,11.087,4.0,15.2,12.0,1.33605,1,6,8,31.06,2.74,4.77,0.48195,0.988,23,29
1,SUV,19,8,13.5,11,10.588,13.5,51.3,40.5,1.33605,3,1,6,22.85,2.79,4.79,0.4374,0.984,21,30
1,Sedan,20,8,6.0,3,7.853,6.0,22.8,18.0,0.685125,1,6,19,44.64,2.65,4.65,0.44145,0.992,19,31
1,Sedan,17,9,6.0,11,9.111,6.0,22.8,18.0,18.696825,2,1,7,21.5,1.79,4.61,0.4616999999999992,0.974,23,30
3,Truck,20,8,17.5,7,11.233,17.5,66.5,52.5,13.009950000000002,1,5,6,40.2,1.19,4.77,0.4455,0.979,20,31
5,Sedan,18,9,6.0,3,4.35,6.0,22.8,18.0,5.4774,3,18,23,24.18,1.25,4.75,0.3807,0.967,23,27
3,Small,19,11,4.0,11,4.437,4.0,15.2,12.0,1.33605,3,6,9,28.49,0.64,4.68,0.49410000000000004,0.947,23,28
4,SUV,20,11,13.5,11,8.04,13.5,51.3,40.5,13.009950000000002,3,9,19,37.89,2.67,4.64,0.5022000000000001,0.99,23,31
2,Truck,19,9,17.5,3,6.12,17.5,66.5,52.5,3.42945,3,19,23,26.25,2.49,4.69,0.41715,0.985,21,31
3,Small,20,10,4.0,7,9.117,4.0,15.2,12.0,5.4774,1,2,8,42.02,0.63,4.7,0.46574999999999916,0.963,20,30
2,Small,19,10,4.0,11,9.885,4.0,15.2,12.0,18.696825,2,8,18,32.74,1.04,4.75,0.5022000000000001,0.971,20,31
5,Sedan,17,10,7.0,7,15.291,6.0,22.8,17.0,5.4774,3,6,9,46.91,3.28,4.73,0.44145,0.994,22,31
3,Sedan,22,9,6.0,3,10.026,6.0,22.8,18.0,5.4774,1,22,23,32.05,1.13,4.71,0.37664999999999993,0.973,22,27
5,Truck,20,11,17.5,7,7.711,17.5,66.5,52.5,0.685125,1,20,23,8.08,1.71,4.76,0.3888,0.93,19,29
4,Small,19,9,4.0,3,5.474,4.0,15.2,12.0,18.696825,1,4,7,16.08,2.8,4.67,0.44145,0.978,21,29
4,Sedan,18,10,6.0,3,12.207,6.0,22.8,18.0,5.4774,2,8,17,46.08,2.35,4.77,0.4536000000000001,0.991,20,29
2,Small,17,10,4.0,7,3.344,4.0,15.2,12.0,5.4774,2,8,16,36.99,2.8,4.74,0.45764999999999917,0.99,19,28
1,Small,22,10,5.0,7,13.159,4.0,15.2,11.0,3.42945,3,8,21,9.35,3.25,4.72,0.40095000000000003,0.968,20,31
1,SUV,19,8,13.5,7,8.359,13.5,51.3,40.5,19.434825,2,3,6,26.32,2.08,4.8,0.40095000000000003,0.982,19,31
4,Truck,20,7,17.5,3,13.141,17.5,66.5,52.5,13.009950000000002,3,5,19,27.69,1.36,4.61,0.45764999999999917,0.974,19,28
4,Truck,18,8,17.5,3,10.519,17.5,66.5,52.5,1.33605,1,6,17,14.54,2.15,4.62,0.50625,0.969,23,28
3,Small,20,7,6.0,11,16.816,4.0,15.2,10.0,5.4774,1,5,6,21.24,3.25,4.77,0.4374,0.986,20,29
1,Small,19,9,5.0,7,14.249,4.0,15.2,11.0,19.434825,2,19,23,37.1,0.84,4.76,0.47384999999999916,0.968,19,28
2,Small,21,7,4.0,11,2.772,4.0,15.2,12.0,19.434825,1,5,6,29.47,2.65,4.79,0.39690000000000003,0.987,20,30
4,Small,17,9,4.0,3,7.314,4.0,15.2,12.0,2.426175,1,1,7,10.47,3.06,4.65,0.38475,0.969,22,28
4,Small,17,12,4.0,7,9.762,4.0,15.2,12.0,0.685125,3,2,10,29.87,2.21,4.64,0.39690000000000003,0.985,20,28
