NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
1,Sedan,17,10,6.0,11,9.595,6.0,22.8,18.0,0.685125,3,1,7,49.17,1.3,4.71,0.49410000000000004,0.984,19,30
2,Small,17,11,4.0,7,8.108,4.0,15.2,12.0,0.685125,1,8,16,8.47,2.31,4.8,0.3888,0.95,20,31
3,Small,18,8,5.0,7,13.099,4.0,15.2,11.0,1.33605,3,18,23,34.25,0.52,4.72,0.47790000000000005,0.945,22,27
4,Small,19,11,4.0,3,10.99,4.0,15.2,12.0,2.426175,2,8,18,46.91,1.79,4.61,0.39690000000000003,0.988,21,31
4,Small,19,11,5.0,7,13.77,4.0,15.2,11.0,5.4774,2,3,8,30.69,2.19,4.8,0.45764999999999917,0.985,23,29
2,SUV,19,9,13.5,7,9.899,13.5,51.3,40.5,0.685125,2,19,23,10.84,2.78,4.79,0.47790000000000005,0.967,21,30
5,Small,19,10,4.0,11,6.882,4.0,15.2,12.0,5.4774,1,3,7,48.76,3.14,4.67,0.44955,0.993,23,31
1,SUV,18,11,13.5,7,9.384,13.5,51.3,40.5,2.426175,2,8,17,7.0,2.68,4.63,0.4455,0.948,20,28
1,Sedan,17,10,6.0,11,9.26,6.0,22.8,18.0,5.4774,1,3,7,15.39,0.92,4.74,0.39285000000000003,0.932,21,28
5,SUV,18,9,13.5,11,10.17,13.5,51.3,40.5,13.009950000000002,1,18,23,47.96,1.14,4.77,0.405,0.982,19,31
2,Small,16,11,4.0,3,7.428,4.0,15.2,12.0,2.426175,1,8,15,22.85,3.37,4.67,0.49815,0.987,20,27
2,SUV,21,10,13.5,3,8.29,13.5,51.3,40.5,2.426175,2,7,20,45.19,0.73,4.73,0.41715,0.97,20,29
5,Small,20,10,4.0,3,9.954,4.0,15.2,12.0,3.42945,1,20,23,39.41,1.71,4.74,0.40095000000000003,0.985,19,27
4,Small,20,10,4.0,7,6.04,4.0,15.2,12.0,3.42945,2,7,19,44.37,3.33,4.72,0.4131,0.993,21,27
